[1] "R出力\\20170218_Tansho2_5_fitted.txt"
[1] "<-----------NA"
     [1] 6100
[1] -760
      [,1] [,2] [,3]      [,4] [,5]       [,6] [,7] [,8] [,9]     [,10] [,11]      [,12]
[24,]   23    0    0 0.0000000    0    0.00000   23    0    0 0.0000000     0    0.00000
[25,]   24    0    0 0.0000000    0    0.00000   24    0    0 0.0000000     0    0.00000
[26,]   25    0    0 0.0000000    0    0.00000   25    0    0 0.0000000     0    0.00000
[27,]   26    0    0 0.0000000    0    0.00000   26    0    0 0.0000000     0    0.00000
[28,]   27    0    0 0.0000000    0    0.00000   27    0    0 0.0000000     0    0.00000
[29,]   28    0    0 0.0000000    0    0.00000   28    0    0 0.0000000     0    0.00000
[30,]   29    0    0 0.0000000    0    0.00000   29    0    0 0.0000000     0    0.00000
[31,]   30    0    0 0.0000000    0    0.00000   30    0    0 0.0000000     0    0.00000
[32,]   31    0    0 0.0000000    0    0.00000   31    0    0 0.0000000     0    0.00000
[33,]   32    0    0 0.0000000    0    0.00000   32    0    0 0.0000000     0    0.00000
[34,]   33    0    0 0.0000000    0    0.00000   33    0    0 0.0000000     0    0.00000
[35,]   34    0    0 0.0000000    0    0.00000   34    0    0 0.0000000     0    0.00000
[36,]   35    0    0 0.0000000    0    0.00000   35    0    0 0.0000000     0    0.00000
[37,]   36    0    0 0.0000000    0    0.00000   36    0    0 0.0000000     0    0.00000
[38,]   37    0    0 0.0000000    0    0.00000   37    0    0 0.0000000     0    0.00000
[39,]   38    0    0 0.0000000    0    0.00000   38    0    0 0.0000000     0    0.00000
[40,]   39    0    0 0.0000000    0    0.00000   39    0    0 0.0000000     0    0.00000
[1][1] "<-----------三連複人気順15番   開始範囲:終了範囲=0:35   倍率=6倍"
      [,1] [,2] [,3]      [,4] [,5]       [,6] [,7] [,8] [,9]     [,10] [,11]      [,12]
 [1,]    0    3    7 0.4285714  380   54.28571    0    1    3 0.3333333  -180  -60.00000
 [2,]    1    6   13 0.4615385  710   54.61538    1    1    3 0.3333333  -320 -106.66667
 [3,]    2    6   18 0.3333333  -90   -5.00000    2    3    9 0.3333333  -520  -57.77778
 [4,]    3    2    4 0.5000000  290   72.50000    3    1    1 1.0000000   460  460.00000
 [5,]    4    1    5 0.2000000 -580 -116.00000    4    1    2 0.5000000    20   10.00000
 [6,]    5    1    4 0.2500000 -440 -110.00000    5    0    1 0.0000000  -200 -200.00000
 [7,]    6    3    9 0.3333333  190   21.11111    6    1    2 0.5000000   130   65.00000
 [8,]    7    5   11 0.4545455  840   76.36364    7    1    3 0.3333333  -170  -56.66667
 [9,]    8    7   14 0.5000000 1480  105.71429    8    3    5 0.6000000   920  184.00000
[10,]    9    2    9 0.2222222 -310  -34.44444    9    0    0 0.0000000     0    0.00000
[11,]   10    1    5 0.2000000   10    2.00000   10    0    3 0.0000000  -600 -200.00000
[12,]   11    2    7 0.2857143 -210  -30.00000   11    0    2 0.0000000  -400 -200.00000
[13,]   12    3    6 0.5000000 1360  226.66667   12    0    2 0.0000000  -400 -200.00000
[14,]   13    2    2 1.0000000 1100  550.00000   13    2    2 1.0000000  1100  550.00000
[15,]   14    2    5 0.4000000  900  180.00000   14    0    1 0.0000000  -200 -200.00000
[16,]   15    0    1 0.0000000 -200 -200.00000   15    0    0 0.0000000     0    0.00000
[17,]   16    1    1 1.0000000  540  540.00000   16    0    0 0.0000000     0    0.00000
[18,]   17    1    1 1.0000000  370  370.00000   17    0    0 0.0000000     0    0.00000
[19,]   18    0    1 0.0000000 -200 -200.00000   18    0    1 0.0000000  -200 -200.00000
[20,]   19    1    3 0.3333333  -40  -13.33333   19    0    1 0.0000000  -200 -200.00000
[21,]   20    0    0 0.0000000    0    0.00000   20    0    0 0.0000000     0    0.00000
[22,]   21    0    0 0.0000000    0    0.00000   21    0    0 0.0000000     0    0.00000
[23,]   22    0    0 0.0000000    0    0.00000   22    0    0 0.0000000     0    0.00000
[24,]   23    0    0 0.0000000    0    0.00000   23    0    0 0.0000000     0    0.00000
[25,]   24    0    0 0.0000000    0    0.00000   24    0    0 0.0000000     0    0.00000
[26,]   25    0    0 0.0000000    0    0.00000   25    0    0 0.0000000     0    0.00000
[27,]   26    0    0 0.0000000    0    0.00000   26    0    0 0.0000000     0    0.00000
[28,]   27    0    0 0.0000000    0    0.00000   27    0    0 0.0000000     0    0.00000
[29,]   28    0    0 0.0000000    0    0.00000   28    0    0 0.0000000     0    0.00000
[30,]   29    0    0 0.0000000    0    0.00000   29    0    0 0.0000000     0    0.00000
[31,]   30    0    0 0.0000000    0    0.00000   30    0    0 0.0000000     0    0.00000
[32,]   31    0    0 0.0000000    0    0.00000   31    0    0 0.0000000     0    0.00000
[33,]   32    0    0 0.0000000    0    0.00000   32    0    0 0.0000000     0    0.00000
[34,]   33    0    0 0.0000000    0    0.00000   33    0    0 0.0000000     0    0.00000
[35,]   34    0    0 0.0000000    0    0.00000   34    0    0 0.0000000     0    0.00000
[1] 6100
[1] -760
[1] "<-----------馬複不人気順15番   開始範囲:終了範囲= 0 :倍率= 200倍"
      [,1] [,2] [,3]      [,4] [,5]       [,6] [,7] [,8] [,9]     [,10] [,11]      [,12]
 [1,]    0    3    7 0.4285714  380   54.28571    0    1    3 0.3333333  -180  -60.00000
 [2,]    1    6   13 0.4615385  710   54.61538    1    1    3 0.3333333  -320 -106.66667
 [3,]    2    6   18 0.3333333  -90   -5.00000    2    3    9 0.3333333  -520  -57.77778
 [4,]    3    2    4 0.5000000  290   72.50000    3    1    1 1.0000000   460  460.00000
 [5,]    4    1    5 0.2000000 -580 -116.00000    4    1    2 0.5000000    20   10.00000
 [6,]    5    1    4 0.2500000 -440 -110.00000    5    0    1 0.0000000  -200 -200.00000
 [7,]    6    3    9 0.3333333  190   21.11111    6    1    2 0.5000000   130   65.00000
 [8,]    7    5   11 0.4545455  840   76.36364    7    1    3 0.3333333  -170  -56.66667
 [9,]    8    7   14 0.5000000 1480  105.71429    8    3    5 0.6000000   920  184.00000
[10,]    9    2    9 0.2222222 -310  -34.44444    9    0    0 0.0000000     0    0.00000
[11,]   10    1    5 0.2000000   10    2.00000   10    0    3 0.0000000  -600 -200.00000
[12,]   11    2    7 0.2857143 -210  -30.00000   11    0    2 0.0000000  -400 -200.00000
[13,]   12    3    6 0.5000000 1360  226.66667   12    0    2 0.0000000  -400 -200.00000
[14,]   13    2    2 1.0000000 1100  550.00000   13    2    2 1.0000000  1100  550.00000
[15,]   14    2    5 0.4000000  900  180.00000   14    0    1 0.0000000  -200 -200.00000
[16,]   15    0    1 0.0000000 -200 -200.00000   15    0    0 0.0000000     0    0.00000
[17,]   16    1    1 1.0000000  540  540.00000   16    0    0 0.0000000     0    0.00000
[18,]   17    1    1 1.0000000  370  370.00000   17    0    0 0.0000000     0    0.00000
[19,]   18    0    1 0.0000000 -200 -200.00000   18    0    1 0.0000000  -200 -200.00000
[20,]   19    1    3 0.3333333  -40  -13.33333   19    0    1 0.0000000  -200 -200.00000
[21,]   20    0    0 0.0000000    0    0.00000   20    0    0 0.0000000     0    0.00000
[22,]   21    0    0 0.0000000    0    0.00000   21    0    0 0.0000000     0    0.00000
[23,]   22    0    0 0.0000000    0    0.00000   22    0    0 0.0000000     0    0.00000
[24,]   23    0    0 0.0000000    0    0.00000   23    0    0 0.0000000     0    0.00000
[25,]   24    0    0 0.0000000    0    0.00000   24    0    0 0.0000000     0    0.00000
[26,]   25    0    0 0.0000000    0    0.00000   25    0    0 0.0000000     0    0.00000
[27,]   26    0    0 0.0000000    0    0.00000   26    0    0 0.0000000     0    0.00000
[28,]   27    0    0 0.0000000    0    0.00000   27    0    0 0.0000000     0    0.00000
[29,]   28    0    0 0.0000000    0    0.00000   28    0    0 0.0000000     0    0.00000
[30,]   29    0    0 0.0000000    0    0.00000   29    0    0 0.0000000     0    0.00000
[31,]   30    0    0 0.0000000    0    0.00000   30    0    0 0.0000000     0    0.00000
[32,]   31    0    0 0.0000000    0    0.00000   31    0    0 0.0000000     0    0.00000
[33,]   32    0    0 0.0000000    0    0.00000   32    0    0 0.0000000     0    0.00000
[34,]   33    0    0 0.0000000    0    0.00000   33    0    0 0.0000000     0    0.00000
[35,]   34    0    0 0.0000000    0    0.00000   34    0    0 0.0000000     0    0.00000
[36,]   35    0    0 0.0000000    0    0.00000   35    0    0 0.0000000     0    0.00000
[37,]   36    0    0 0.0000000    0    0.00000   36    0    0 0.0000000     0    0.00000
[38,]   37    0    0 0.0000000    0    0.00000   37    0    0 0.0000000     0    0.00000
[39,]   38    0    0 0.0000000    0    0.00000   38    0    0 0.0000000     0    0.00000
[40,]   39    0    0 0.0000000    0    0.00000   39    0    0 0.0000000     0    0.00000
[41,]   40    0    0 0.0000000    0    0.00000   40    0    0 0.0000000     0    0.00000
[42,]   41    0    0 0.0000000    0    0.00000   41    0    0 0.0000000     0    0.00000
[43,]   42    0    0 0.0000000    0    0.00000   42    0    0 0.0000000     0    0.00000
[44,]   43    0    0 0.0000000    0    0.00000   43    0    0 0.0000000     0    0.00000
[45,]   44    0    0 0.0000000    0    0.00000   44    0    0 0.0000000     0    0.00000
[46,]   45    0    0 0.0000000    0    0.00000   45    0    0 0.0000000     0    0.00000
[47,]   46    0    0 0.0000000    0    0.00000   46    0    0 0.0000000     0    0.00000
[48,]   47    0    0 0.0000000    0    0.00000   47    0    0 0.0000000     0    0.00000
[49,]   48    0    0 0.0000000    0    0.00000   48    0    0 0.0000000     0    0.00000
[50,]   49    0    0 0.0000000    0    0.00000   49    0    0 0.0000000     0    0.00000
[1] 6100
[1] -760
      [,1] [,2] [,3]      [,4] [,5]       [,6] [,7] [,8] [,9]     [,10] [,11]      [,12]
 [1,]    0    3    7 0.4285714  380   54.28571    0    1    3 0.3333333  -180  -60.00000
 [2,]    1    6   13 0.4615385  710   54.61538    1    1    3 0.3333333  -320 -106.66667
 [3,]    2    6   18 0.3333333  -90   -5.00000    2    3    9 0.3333333  -520  -57.77778
 [4,]    3    2    4 0.5000000  290   72.50000    3    1    1 1.0000000   460  460.00000
 [5,]    4    1    5 0.2000000 -580 -116.00000    4    1    2 0.5000000    20   10.00000
 [6,]    5    1    4 0.2500000 -440 -110.00000    5    0    1 0.0000000  -200 -200.00000
 [7,]    6    3    9 0.3333333  190   21.11111    6    1    2 0.5000000   130   65.00000
 [8,]    7    5   11 0.4545455  840   76.36364    7    1    3 0.3333333  -170  -56.66667
 [9,]    8    7   14 0.5000000 1480  105.71429    8    3    5 0.6000000   920  184.00000
[10,]    9    2    9 0.2222222 -310  -34.44444    9    0    0 0.0000000     0    0.00000
[11,]   10    1    5 0.2000000   10    2.00000   10    0    3 0.0000000  -600 -200.00000
[12,]   11    2    7 0.2857143 -210  -30.00000   11    0    2 0.0000000  -400 -200.00000
[13,]   12    3    6 0.5000000 1360  226.66667   12    0    2 0.0000000  -400 -200.00000
[14,]   13    2    2 1.0000000 1100  550.00000   13    2    2 1.0000000  1100  550.00000
[15,]   14    2    5 0.4000000  900  180.00000   14    0    1 0.0000000  -200 -200.00000
[16,]   15    0    1 0.0000000 -200 -200.00000   15    0    0 0.0000000     0    0.00000
[17,]   16    1    1 1.0000000  540  540.00000   16    0    0 0.0000000     0    0.00000
[18,]   17    1    1 1.0000000  370  370.00000   17    0    0 0.0000000     0    0.00000
[19,]   18    0    1 0.0000000 -200 -200.00000   18    0    1 0.0000000  -200 -200.00000
[20,]   19    1    3 0.3333333  -40  -13.33333   19    0    1 0.0000000  -200 -200.00000
[21,]   20    0    0 0.0000000    0    0.00000   20    0    0 0.0000000     0    0.00000
[22,]   21    0    0 0.0000000    0    0.00000   21    0    0 0.0000000     0    0.00000
[23,]   22    0    0 0.0000000    0    0.00000   22    0    0 0.0000000     0    0.00000
[24,]   23    0    0 0.0000000    0    0.00000   23    0    0 0.0000000     0    0.00000
[25,]   24    0    0 0.0000000    0    0.00000   24    0    0 0.0000000     0    0.00000
[26,]   25    0    0 0.0000000    0    0.00000   25    0    0 0.0000000     0    0.00000
[27,]   26    0    0 0.0000000    0    0.00000   26    0    0 0.0000000     0    0.00000
[28,]   27    0    0 0.0000000    0    0.00000   27    0    0 0.0000000     0    0.00000
[29,]   28    0    0 0.0000000    0    0.00000   28    0    0 0.0000000     0    0.00000
[30,]   29    0    0 0.0000000    0    0.00000   29    0    0 0.0000000     0    0.00000
[31,]   30    0    0 0.0000000    0    0.00000   30    0    0 0.0000000     0    0.00000
[32,]   31    0    0 0.0000000    0    0.00000   31    0    0 0.0000000     0    0.00000
[33,]   32    0    0 0.0000000    0    0.00000   32    0    0 0.0000000     0    0.00000
[34,]   33    0    0 0.0000000    0    0.00000   33    0    0 0.0000000     0    0.00000
[35,]   34    0    0 0.0000000    0    0.00000   34    0    0 0.0000000     0    0.00000
[36,]   35    0    0 0.0000000    0    0.00000   35    0    0 0.0000000     0    0.00000
[37,]   36    0    0 0.0000000    0    0.00000   36    0    0 0.0000000     0    0.00000
[38,]   37    0    0 0.0000000    0    0.00000   37    0    0 0.0000000     0    0.00000
[39,]   38    0    0 0.0000000    0    0.00000   38    0    0 0.0000000     0    0.00000
[40,]   39    0    0 0.0000000    0    0.00000   39    0    0 0.0000000     0    0.00000
[41,]   40    0    0 0.0000000    0    0.00000   40    0    0 0.0000000     0    0.00000
[42,]   41    0    0 0.0000000    0    0.00000   41    0    0 0.0000000     0    0.00000
[43,]   42    0    0 0.0000000    0    0.00000   42    0    0 0.0000000     0    0.00000
[44,]   43    0    0 0.0000000    0    0.00000   43    0    0 0.0000000     0    0.00000
[45,]   44    0    0 0.0000000    0    0.00000   44    0    0 0.0000000     0    0.00000
[46,]   45    0    0 0.0000000    0    0.00000   45    0    0 0.0000000     0    0.00000
[47,]   46    0    0 0.0000000    0    0.00000   46    0    0 0.0000000     0    0.00000
[48,]   47    0    0 0.0000000    0    0.00000   47    0    0 0.0000000     0    0.00000
[49,]   48    0    0 0.0000000    0    0.00000   48    0    0 0.0000000     0    0.00000
[50,]   49    0    0 0.0000000    0    0.00000   49    0    0 0.0000000     0    0.00000
[1] 6100
[1] -760
